obs_id,source_row_id,year,exporter_code,importer_code,hs6,family_id,quality_status,exclusion_reason,value_valid_flag,quantity_valid_flag,benchmark_join_status,source_filename,source_version
obs_8e976d9e1f61322d9e68,baci_3f94b42096d0392649845445,2022,178,818,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_ce8b13efa00b8dc670ae,baci_713e6fdef0864d3909d1622e,2022,180,458,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_b8c6a99b2aab7064cf23,baci_04f9372990cb3aed31ec7afb,2022,180,586,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_7a36ad3a75b0faad59e8,baci_dfe12658595e9632b59f5b69,2022,180,682,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_6f5904186c2ded9f3b93,baci_c74bccfae663e1bd233a52e5,2022,180,818,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_8209bfabe11133347539,baci_bf00b734911e4f21df998574,2022,203,191,740311,refined_copper_cathodes,usable_with_caveat,short_history;valid_extreme_retained,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_d2bb35466038443d4c84,baci_d5ea553f35cd561cae1d05d8,2022,203,348,740311,refined_copper_cathodes,usable_with_caveat,short_history;valid_extreme_retained,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_a20437e3bae2efd7da22,baci_d10f0ff461ee31e7dcfd6b44,2022,203,608,740311,refined_copper_cathodes,usable_with_caveat,short_history;valid_extreme_retained,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_7db290b5bb53f137ad41,baci_77ace7aba23168804d762eb4,2022,203,724,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_4239e210b6c78e539f00,baci_61ebd344088b10b948fe0b3f,2022,208,616,740311,refined_copper_cathodes,usable_with_caveat,valid_extreme_retained,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_66d255cf51de7ce4679d,baci_ee18c83f054ffe41f40c692d,2022,214,528,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_5df9e92aae60393a0b26,baci_b5ba467afe3903d0d5bd3633,2022,218,826,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_41a626c1a85d7db2208f,baci_c3194c1aea726f97f49652bb,2022,246,40,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_8fd352b4a1b3105d641d,baci_72d29564c0b7ae522f384685,2022,246,203,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_29324fe2d329545ca472,baci_b8db1d8783da2ee21ec8b36f,2022,246,208,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_34b09448b59f801f02b5,baci_02a1086e3040b20941c3ce54,2022,246,398,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_0bd2773c06eef6f141c2,baci_7ccfacaeed94a0f2a36d53f2,2022,246,724,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_fddcf53c554ded02d04e,baci_93001ee90b646e0946fa56b4,2022,251,12,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_6b392006e64ff931785a,baci_98a4ff0f7aba4484df3870a0,2022,251,76,740311,refined_copper_cathodes,usable_with_caveat,valid_extreme_retained,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_08402515d7c30742ad31,baci_dd7e6ced338709e4cc328eff,2022,251,266,740311,refined_copper_cathodes,usable_with_caveat,short_history;valid_extreme_retained,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_6bbf192d7a92abb17517,baci_8c49a0768f091e5e2127ef49,2022,251,300,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_5bd85f039f923c743f69,baci_a904defa9927c6de294204df,2022,251,384,740311,refined_copper_cathodes,usable_with_caveat,short_history;valid_extreme_retained,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_300af90feb0965d7d2bf,baci_0d38b642c620c5eb2e9b9710,2022,251,591,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_a3df28d7e10c7f64dcae,baci_82d12cc98509b5ffc52afded,2022,251,705,740311,refined_copper_cathodes,usable_with_caveat,valid_extreme_retained,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_617c0b12d63096e27a4d,baci_4b80a2e2d8f95a8ecf6d7c3b,2022,251,792,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_da0eb2aff404d8de0e15,baci_7a9eacac010b11894d0eb139,2022,268,528,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_677bd40b8fba7c6f490e,baci_fc6bd576d22d8354374e9789,2022,276,76,740311,refined_copper_cathodes,usable_with_caveat,valid_extreme_retained,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_716cc458296df66c1d20,baci_49058c96258fc99d3b688a1e,2022,276,152,740311,refined_copper_cathodes,usable_with_caveat,valid_extreme_retained,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_904de175f96ed388504c,baci_4cda2c14ab1fdfced81ce892,2022,276,360,740311,refined_copper_cathodes,usable_with_caveat,valid_extreme_retained,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
obs_706f196699dbe4ac67cd,baci_8f049c148b88cbbb85a9daa9,2022,276,372,740311,refined_copper_cathodes,usable_with_caveat,short_history,True,True,matched,baci_hs17_v202601_selected_2017_2024_151110_740311_710812.parquet,CEPII_BACI_HS17_V202601_filtered_official_derived
